Nombre,Fecha,Patron,Lugar,Estatus,Caducidad,Pagina,Fecha_Str,Link
Data Scientist (AI),2026-08-14,Acute Talent,México,Postulación enviada,Sigue abierto el empleo,Indeed,Te postulaste hoy en Indeed,https://mx.indeed.com/viewjob?jk=307e926e6a7c6be6&hl=es
EXPERTO ANALITICA DE DATOS,2026-08-14,HUNTING,Desde casa,Postulación enviada,Sigue abierto el empleo,Indeed,Te postulaste hoy en Indeed,https://mx.indeed.com/viewjob?jk=eb01fa60a735b498&hl=es
Analista Financiero,2026-08-10,M ROCA Desarollos,"México Norte, Yuc.",Postulación vista,Sigue abierto el empleo,Indeed,Te postulaste en Indeed el lunes,https://mx.indeed.com/viewjob?jk=165e16cd656f92ab&hl=es
Analista Riesgo de Crédito,2026-08-10,Confidencial,"Colonia Florida, CDMX",Postulación vista,El empleo se cerró o caducó en Indeed,Indeed,Te postulaste en Indeed el lunes,https://mx.indeed.com/viewjob?jk=d7df8208de3215da&hl=es
Call Center / Analista de Business Intelligence -MySQL,2026-08-10,CONTACTO GARANTIDO,"Chimalistac, CDMX",Postulación vista,El empleo se cerró o caducó en Indeed,Indeed,Te postulaste en Indeed el lunes,https://mx.indeed.com/viewjob?jk=b9f0d1ffdb8ae80d&hl=es
Analista de Medios de Pago,2026-08-10,Localiza & Co,"Ciudad de México, CDMX",Postulación enviada,El empleo se cerró o caducó en Indeed,Indeed,Postulación realizada el lunes,https://mx.indeed.com/viewjob?jk=c205f15a03e59f73&hl=es
Analista De Datos,2026-08-06,InicioTX SAPI de CV,"Las Águilas, CDMX",Postulación enviada,El empleo se cerró o caducó en Indeed,Indeed,Te postulaste en Indeed el 6 de ago.,https://mx.indeed.com/viewjob?jk=8817f6398f5de86e&hl=es
Analista de Datos,2026-08-06,KrediYA People,"Ciudad de México, CDMX",Postulación enviada,Sigue abierto el empleo,Indeed,Te postulaste en Indeed el 6 de ago.,https://mx.indeed.com/viewjob?jk=01bc53d2a2b25ed3&hl=es
Especialista de Datos,2026-08-06,Vivera para Coppel,"Ciudad de México, CDMX",La empresa no te seleccionó,El empleo se cerró o caducó en Indeed,Indeed,Te postulaste en Indeed el 6 de ago.,https://mx.indeed.com/viewjob?jk=f26a0d55561dc058&hl=es
Científico de Datos,2026-08-06,Vivera para Coppel,"Ciudad de México, CDMX",La empresa no te seleccionó,El empleo se cerró o caducó en Indeed,Indeed,Te postulaste en Indeed el 6 de ago.,https://mx.indeed.com/viewjob?jk=ae8ac97bf44f6a3f&hl=es
Analista de Datos,2026-08-06,YALE DE MEXICO SAPI DE C.V,"Ampliación San Miguel, CDMX",Postulación enviada,El empleo se cerró o caducó en Indeed,Indeed,Te postulaste en Indeed el 6 de ago.,https://mx.indeed.com/viewjob?jk=61dca667b7a1ef1e&hl=es
Ingeniero de Datos Junior,2026-08-06,KrediYA People,"Ciudad de México, CDMX",Postulación enviada,Sigue abierto el empleo,Indeed,Te postulaste en Indeed el 6 de ago.,https://mx.indeed.com/viewjob?jk=7483bbd3f2db6029&hl=es
Analista de datos,2026-08-06,Grupo Diagnóstico Aries,"Venustiano Carranza, CDMX",Postulación enviada,El empleo se cerró o caducó en Indeed,Indeed,Te postulaste en Indeed el 6 de ago.,https://mx.indeed.com/viewjob?jk=a30a15ebf50b2a1a&hl=es
Analista JR de Datos Financieros,2026-08-06,HirCasa,"Álvaro Obregón, CDMX",Postulación enviada,El empleo se cerró o caducó en Indeed,Indeed,Te postulaste en Indeed el 6 de ago.,https://mx.indeed.com/viewjob?jk=0c9bc49c03fc2a3f&hl=es
Analista de Datos de Negocio,2026-08-06,C&W OPERACION INMOBILIARIA SA de CV,"Benito Juárez, CDMX",Postulación enviada,El empleo se cerró o caducó en Indeed,Indeed,Te postulaste en Indeed el 6 de ago.,https://mx.indeed.com/viewjob?jk=896a4a1e2cc8a24c&hl=es
Analista de datos,2026-08-06,LINKEA-RH,"Benito Juárez, CDMX",Postulación enviada,El empleo se cerró o caducó en Indeed,Indeed,Te postulaste en Indeed el 6 de ago.,https://mx.indeed.com/viewjob?jk=01848b11d3e1e9b6&hl=es
Analista de Base de Datos,2026-08-06,Beer City Mx,"Colonia Lomas de Chapultepec, CDMX",Postulación enviada,El empleo se cerró o caducó en Indeed,Indeed,Te postulaste en Indeed el 6 de ago.,https://mx.indeed.com/viewjob?jk=83c7565d87bdedc0&hl=es
Analista de Datos,2026-08-06,Si Ocean,"Cuauhtémoc, CDMX",Postulación enviada,Sigue abierto el empleo,Indeed,Te postulaste en Indeed el 6 de ago.,https://mx.indeed.com/viewjob?jk=d30e95c2bb2ad37f&hl=es
Analista Junior de Base de Datos,2026-08-06,"SI-Crea Comercial, S.A. de C.V","Benito Juárez, CDMX",Postulación enviada,Sigue abierto el empleo,Indeed,Te postulaste en Indeed el 6 de ago.,https://mx.indeed.com/viewjob?jk=98158386a56556f8&hl=es
Analista JR BI,2026-08-06,Soluciones en Capital Humano,"Miguel Hidalgo, CDMX",Postulación enviada,El empleo se cerró o caducó en Indeed,Indeed,Te postulaste en Indeed el 6 de ago.,https://mx.indeed.com/viewjob?jk=52d538b0a92942a8&hl=es
Analista de datos,2026-08-06,Heineken México,"Azcapotzalco, CDMX",Postulación enviada,Sigue abierto el empleo,Indeed,Te postulaste en Indeed el 6 de ago.,https://mx.indeed.com/viewjob?jk=f41ef2c8b4714117&hl=es
Analista de Datos_Python,2026-08-06,El Puerto de Liverpool,"Álvaro Obregón, CDMX",Postulación enviada,Sigue abierto el empleo,Indeed,Te postulaste en Indeed el 6 de ago.,https://mx.indeed.com/viewjob?jk=d99b99d5809dbab0&hl=es
Analista de Datos,2026-08-06,Quali,"Ciudad de México, CDMX",La empresa no te seleccionó,Sigue abierto el empleo,Indeed,Te postulaste en Indeed el 6 de ago.,https://mx.indeed.com/viewjob?jk=80ca80e7c9ae39a9&hl=es
Analista Junior de Inteligencia Digital,2026-08-02,Kostik,"Cuauhtémoc, CDMX",Postulación enviada,Sigue abierto el empleo,Indeed,Te postulaste en Indeed el 2 de ago.,https://mx.indeed.com/viewjob?jk=2cb6d9fbdc6b8e41&hl=es
Especialista Análisis de Datos,2026-08-02,Grupo Nacional Provincial,"Coyoacán, CDMX",Postulación enviada,Sigue abierto el empleo,Indeed,Te postulaste en Indeed el 2 de ago.,https://mx.indeed.com/viewjob?jk=f1b5786543bfe7c9&hl=es
Analista BI,2026-08-02,Prixz,"Magdalena Contreras, CDMX",Postulación enviada,El empleo se cerró o caducó en Indeed,Indeed,Te postulaste en Indeed el 2 de ago.,https://mx.indeed.com/viewjob?jk=d791a8309dad90d0&hl=es
Analista de Datos Python,2026-08-02,TR network,"Ciudad de México, CDMX",Postulación enviada,El empleo se cerró o caducó en Indeed,Indeed,Te postulaste en Indeed el 2 de ago.,https://mx.indeed.com/viewjob?jk=3546627db3539a56&hl=es
Analista de Datos,2026-07-30,SEARS,"Miguel Hidalgo, CDMX",Postulación enviada,El empleo se cerró o caducó en Indeed,Indeed,Te postulaste en Indeed el 30 de jul.,https://mx.indeed.com/viewjob?jk=b6130a0c127688e2&hl=es
Científico de datos,2026-07-21,Soluciones Integrales a la Medida SA de CV,"Cantil del Pedregal, CDMX",Postulación enviada,El empleo se cerró o caducó en Indeed,Indeed,Te postulaste en Indeed el 21 de jul.,https://mx.indeed.com/viewjob?jk=7fb97888d21756e2&hl=es
Especialista en ciencias de datos - Análisis geoespacial y optimización,2026-07-21,BUSCA TALENTO,"Loreto, CDMX",La empresa no te seleccionó,El empleo se cerró o caducó en Indeed,Indeed,Te postulaste en Indeed el 21 de jul.,https://mx.indeed.com/viewjob?jk=d5db9b4cf9442129&hl=es
Especialista de Análisis de Datos,2026-07-21,CONSUBANCO,"Álvaro Obregón, CDMX",Postulación enviada,Sigue abierto el empleo,Indeed,Te postulaste en Indeed el 21 de jul.,https://mx.indeed.com/viewjob?jk=483476c6d4e984e1&hl=es
"Analista de Ciencia de Datos (Python y Análisis Geoespacial) - ALVARO OBREGON, CDMX",2026-07-21,LabServet,"Álvaro Obregón, CDMX",Postulación enviada,El empleo se cerró o caducó en Indeed,Indeed,Te postulaste en Indeed el 21 de jul.,https://mx.indeed.com/viewjob?jk=7a779639b867fbda&hl=es
